timestamp,age,gender,purchase_frequency,purchase_categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart_browsing,cart_completion_frequency,cart_abandonment_factors,saveforlater_frequency,review_left,review_reliability,review_helpfulness,personalized_recommendation_frequency_1,recommendation_helpfulness,rating_accuracy,shopping_satisfaction,service_appreciation,improvement_areas,rating_accuracy_num,customer_reviews_importance_num,recommendation_helpfulness_num,shopping_satisfaction_num,saveforlater_frequency_num,cart_completion_frequency_num,timestamp_parsed,ts_year,ts_month,ts_day,ts_hour,ts_weekday,timestamp_topic_0,timestamp_topic_1,timestamp_topic_2,timestamp_topic_3,timestamp_topic_4,timestamp_topic_5,purchase_categories_topic_0,purchase_categories_topic_1,cart_abandonment_factors_topic_0,cart_abandonment_factors_topic_1,cluster_kmeans,cluster_dbscan,cluster_agg,cluster_gmm,cluster_label_used
2023/06/04 1:28:19 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,2,Yes,1,1,Competitive prices,Reducing packaging waste,1.0,1.0,,1.0,3.0,3.0,2023-06-04 13:28:19-05:30,2023,6,4,13,6,0.8323349412347424,0.0334249794407261,0.033432839078364,0.0334752658228407,0.0337661046656705,0.0335658697576562,0.1273542546663209,0.8726457453336791,0.1666824542265414,0.8333175457734585,1,-1,1,1,1
2023/06/04 2:30:44 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste,3.0,1.0,3.0,2.0,2.0,4.0,2023-06-04 14:30:44-05:30,2023,6,4,14,6,0.7898493014313277,0.0418842552748182,0.041838538411568,0.0419125655357887,0.0424430676934416,0.0420722716530555,0.1801228724025039,0.8198771275974961,0.1250428283408851,0.8749571716591149,1,-1,1,1,1
2023/06/04 5:04:56 PM GMT+5:30,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,No,3,3,Competitive prices,Product quality and accuracy,3.0,2.0,,3.0,2.0,3.0,2023-06-04 17:04:56-05:30,2023,6,4,17,6,0.0335545244393661,0.0334245760435606,0.0335413805096339,0.340268741927102,0.5256259206681365,0.0335848564122007,0.7353452585372685,0.2646547414627315,0.1666824542265414,0.8333175457734585,0,-1,0,1,0
2023/06/04 5:13:00 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,4,Competitive prices,Product quality and accuracy,3.0,5.0,3.0,4.0,3.0,3.0,2023-06-04 17:13:00-05:30,2023,6,4,17,6,0.8320454619082172,0.0334095873905068,0.033739670029161,0.0334754461346269,0.0337636384388971,0.0335661960985908,0.0868156385412483,0.9131843614587516,0.1666824542265414,0.8333175457734585,0,-1,0,1,0
2023/06/04 5:28:06 PM GMT+5:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Heavily,Yes,4,Yes,2,2,Competitive prices,Product quality and accuracy,2.0,1.0,,2.0,2.0,3.0,2023-06-04 17:28:06-05:30,2023,6,4,17,6,0.7898801808184923,0.041798049131588,0.0418386475980287,0.0419127207612723,0.0424978435598088,0.0420725581308098,0.0868156385412483,0.9131843614587516,0.1250428283408851,0.8749571716591149,1,-1,1,1,1
2023/06/04 6:01:59 PM GMT+5:30,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,5.0,1.0,,2.0,1.0,2.0,2023-06-04 18:01:59-05:30,2023,6,4,18,6,0.0334723757777054,0.0334154875445961,0.0334408172112147,0.0335094744818507,0.8326785913261652,0.0334832536584678,0.1801228724025039,0.8198771275974961,0.9166431756145148,0.083356824385485,0,-1,0,1,0
2023/06/04 6:31:41 PM GMT+5:30,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Shipping speed and reliability,3.0,1.0,3.0,3.0,2.0,4.0,2023-06-04 18:31:41-05:30,2023,6,4,18,6,0.0334717303613984,0.0334155240718447,0.0339786384142716,0.033443999260261,0.8322082705641832,0.0334818373280407,0.1801228724025039,0.8198771275974961,0.1250428283408851,0.8749571716591149,1,-1,1,1,1
2023/06/04 7:13:12 PM GMT+5:30,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,3,Sometimes,1,3,Competitive prices,Shipping speed and reliability,1.0,1.0,3.0,3.0,2.0,4.0,2023-06-04 19:13:12-05:30,2023,6,4,19,6,0.0336351104061611,0.0334172139769177,0.5787976802478699,0.0335490199785735,0.2869265767457131,0.0336743986447644,0.0868156385412483,0.9131843614587516,0.1666824542265414,0.8333175457734585,1,-1,1,1,1
2023/06/04 7:23:21 PM GMT+5:30,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Wide product selection,Reducing packaging waste,2.0,1.0,,2.0,4.0,3.0,2023-06-04 19:23:21-05:30,2023,6,4,19,6,0.0334986671578128,0.0334242627857151,0.0336237876530051,0.3099452088050077,0.555994459561004,0.0335136140374551,0.0868156385412483,0.9131843614587516,0.9166431756145148,0.083356824385485,1,-1,1,1,1
2023/06/04 7:33:12 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,3,Yes,3,4,Wide product selection,Product quality and accuracy,3.0,1.0,,4.0,2.0,2.0,2023-06-04 19:33:12-05:30,2023,6,4,19,6,0.0336342882564559,0.0334204100376686,0.0337627946727806,0.8312254292393031,0.0341194926540604,0.0338375851397313,0.0868156385412483,0.9131843614587516,0.1666824542265414,0.8333175457734585,0,-1,0,1,0
