timestamp,age,gender,purchase_frequency,purchase_categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart_browsing,cart_completion_frequency,cart_abandonment_factors,saveforlater_frequency,review_left,review_reliability,review_helpfulness,personalized_recommendation_frequency_1,recommendation_helpfulness,rating_accuracy,shopping_satisfaction,service_appreciation,improvement_areas,rating_accuracy_num,customer_reviews_importance_num,recommendation_helpfulness_num,shopping_satisfaction_num,saveforlater_frequency_num,cart_completion_frequency_num,timestamp_parsed,ts_year,ts_month,ts_day,ts_hour,ts_weekday,timestamp_topic_0,timestamp_topic_1,timestamp_topic_2,timestamp_topic_3,timestamp_topic_4,timestamp_topic_5,purchase_categories_topic_0,purchase_categories_topic_1,cart_abandonment_factors_topic_0,cart_abandonment_factors_topic_1,cluster_kmeans,cluster_dbscan,cluster_agg,cluster_gmm
2023/06/04 1:28:19 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,2,Yes,1,1,Competitive prices,Reducing packaging waste,1.0,1.0,,1.0,3.0,3.0,2023-06-04 13:28:19-05:30,2023,6,4,13,6,0.8323349412347424,0.03342497944072615,0.03343283907836409,0.03347526582284073,0.03376610466567053,0.03356586975765628,0.12735425466632094,0.8726457453336791,0.1666824542265414,0.8333175457734585,1,-1,1,1
2023/06/04 2:30:44 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste,3.0,1.0,3.0,2.0,2.0,4.0,2023-06-04 14:30:44-05:30,2023,6,4,14,6,0.7898493014313277,0.041884255274818254,0.04183853841156804,0.04191256553578873,0.04244306769344161,0.04207227165305559,0.18012287240250394,0.8198771275974961,0.1250428283408851,0.8749571716591149,1,-1,1,1
2023/06/04 5:04:56 PM GMT+5:30,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,No,3,3,Competitive prices,Product quality and accuracy,3.0,2.0,,3.0,2.0,3.0,2023-06-04 17:04:56-05:30,2023,6,4,17,6,0.033554524439366115,0.03342457604356061,0.03354138050963394,0.340268741927102,0.5256259206681365,0.03358485641220071,0.7353452585372685,0.26465474146273155,0.1666824542265414,0.8333175457734585,0,-1,0,1
2023/06/04 5:13:00 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,4,Competitive prices,Product quality and accuracy,3.0,5.0,3.0,4.0,3.0,3.0,2023-06-04 17:13:00-05:30,2023,6,4,17,6,0.8320454619082172,0.03340958739050685,0.03373967002916102,0.03347544613462697,0.03376363843889712,0.033566196098590864,0.08681563854124834,0.9131843614587517,0.1666824542265414,0.8333175457734585,0,-1,0,1
2023/06/04 5:28:06 PM GMT+5:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Heavily,Yes,4,Yes,2,2,Competitive prices,Product quality and accuracy,2.0,1.0,,2.0,2.0,3.0,2023-06-04 17:28:06-05:30,2023,6,4,17,6,0.7898801808184923,0.04179804913158804,0.04183864759802878,0.041912720761272386,0.04249784355980882,0.04207255813080982,0.08681563854124834,0.9131843614587517,0.1250428283408851,0.8749571716591149,1,-1,1,1
2023/06/04 6:01:59 PM GMT+5:30,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,5.0,1.0,,2.0,1.0,2.0,2023-06-04 18:01:59-05:30,2023,6,4,18,6,0.03347237577770543,0.03341548754459613,0.033440817211214724,0.03350947448185072,0.8326785913261652,0.03348325365846786,0.18012287240250394,0.8198771275974961,0.9166431756145149,0.08335682438548504,0,-1,0,1
2023/06/04 6:31:41 PM GMT+5:30,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Shipping speed and reliability,3.0,1.0,3.0,3.0,2.0,4.0,2023-06-04 18:31:41-05:30,2023,6,4,18,6,0.03347173036139848,0.03341552407184479,0.03397863841427169,0.03344399926026104,0.8322082705641832,0.03348183732804079,0.18012287240250394,0.8198771275974961,0.1250428283408851,0.8749571716591149,1,-1,1,1
2023/06/04 7:13:12 PM GMT+5:30,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,3,Sometimes,1,3,Competitive prices,Shipping speed and reliability,1.0,1.0,3.0,3.0,2.0,4.0,2023-06-04 19:13:12-05:30,2023,6,4,19,6,0.03363511040616112,0.03341721397691772,0.5787976802478699,0.03354901997857356,0.2869265767457131,0.03367439864476446,0.08681563854124834,0.9131843614587517,0.1666824542265414,0.8333175457734585,1,-1,1,1
2023/06/04 7:23:21 PM GMT+5:30,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Wide product selection,Reducing packaging waste,2.0,1.0,,2.0,4.0,3.0,2023-06-04 19:23:21-05:30,2023,6,4,19,6,0.033498667157812814,0.03342426278571519,0.03362378765300513,0.30994520880500775,0.555994459561004,0.033513614037455175,0.08681563854124834,0.9131843614587517,0.9166431756145149,0.08335682438548504,1,-1,1,1
2023/06/04 7:33:12 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,3,Yes,3,4,Wide product selection,Product quality and accuracy,3.0,1.0,,4.0,2.0,2.0,2023-06-04 19:33:12-05:30,2023,6,4,19,6,0.03363428825645591,0.03342041003766868,0.0337627946727806,0.8312254292393031,0.03411949265406044,0.0338375851397313,0.08681563854124834,0.9131843614587517,0.1666824542265414,0.8333175457734585,0,-1,0,1
